kr_name,month, monthly_target 
KR-0,"January, 2026","313,024,090.00"
KR-0,"February, 2026","248,858,403.00"
KR-0,"March, 2026","302,568,052.00"
KR-0,"April, 2026","257,779,228.00"
KR-0,"May, 2026","271,668,630.00"
KR-0,"June, 2026","301,632,939.00"
KR-0,"July, 2026","306,243,169.00"
KR-0,"August, 2026","321,338,242.00"
KR-0,"September, 2026","346,075,596.00"
KR-0,"October, 2026","351,657,243.00"
KR-0,"November, 2026","347,032,040.00"
KR-0,"December, 2026","456,828,442.00"
KR-1,"January, 2026","248,874,090.00"
KR-1,"February, 2026","226,608,403.00"
KR-1,"March, 2026","259,668,052.00"
KR-1,"April, 2026","237,379,228.00"
KR-1,"May, 2026","254,968,630.00"
KR-1,"June, 2026","256,632,939.00"
KR-1,"July, 2026","287,593,169.00"
KR-1,"August, 2026","293,438,242.00"
KR-1,"September, 2026","309,925,596.00"
KR-1,"October, 2026","312,257,243.00"
KR-1,"November, 2026","326,832,040.00"
KR-1,"December, 2026","360,478,442.00"
KR-1.1,"January, 2026","92,641,999"
KR-1.1,"February, 2026","93,725,716"
KR-1.1,"March, 2026","102,163,718"
KR-1.1,"April, 2026","97,141,283"
KR-1.1,"May, 2026","105,052,363"
KR-1.1,"June, 2026","104,334,371"
KR-1.1,"July, 2026","110,750,879"
KR-1.1,"August, 2026","115,017,978"
KR-1.1,"September, 2026","125,002,217"
KR-1.1,"October, 2026","138,634,858"
KR-1.1,"November, 2026","147,340,059"
KR-1.1,"December, 2026","168,420,370"
KR-1.1.1,"January, 2026",90
KR-1.1.1,"February, 2026",90
KR-1.1.1,"March, 2026",90
KR-1.1.1,"April, 2026",90
KR-1.1.1,"May, 2026",90
KR-1.1.1,"June, 2026",90
KR-1.1.1,"July, 2026",90
KR-1.1.1,"August, 2026",90
KR-1.1.1,"September, 2026",90
KR-1.1.1,"October, 2026",90
KR-1.1.1,"November, 2026",90
KR-1.1.1,"December, 2026",90
KR-1.2,"January, 2026","5,312,620.00"
KR-1.2,"February, 2026","5,374,767.00"
KR-1.2,"March, 2026","5,858,650.00"
KR-1.2,"April, 2026","5,570,635.00"
KR-1.2,"May, 2026","6,024,301.00"
KR-1.2,"June, 2026","5,983,127.00"
KR-1.2,"July, 2026","6,351,086.00"
KR-1.2,"August, 2026","6,595,786.00"
KR-1.2,"September, 2026","7,168,339.00"
KR-1.2,"October, 2026","7,950,113.00"
KR-1.2,"November, 2026","8,449,319.00"
KR-1.2,"December, 2026","9,658,184.00"
KR-1.2.1,"January, 2026","5,312,620.00"
KR-1.2.1,"February, 2026","5,374,767.00"
KR-1.2.1,"March, 2026","5,858,650.00"
KR-1.2.1,"April, 2026","5,570,635.00"
KR-1.2.1,"May, 2026","6,024,301.00"
KR-1.2.1,"June, 2026","5,983,127.00"
KR-1.2.1,"July, 2026","6,351,086.00"
KR-1.2.1,"August, 2026","6,595,786.00"
KR-1.2.1,"September, 2026","7,168,339.00"
KR-1.2.1,"October, 2026","7,950,113.00"
KR-1.2.1,"November, 2026","8,449,319.00"
KR-1.2.1,"December, 2026","9,658,184.00"
KR-1.3,"January, 2026","30,674,755.00"
KR-1.3,"February, 2026","32,936,109.00"
