agent_region,metric_month: Month,Sum of monthly_premium,Sum of non_motor_gwp,Sum of motor_gwp
Central Team A,"July, 2025","1,236,796.61","89,233.07","1,147,563.54"
Central Team A,"August, 2025","1,585,364.83","114,870.67","1,470,494.16"
Central Team A,"September, 2025","1,099,585.55","29,493.95","1,070,091.6"
Central Team A,"October, 2025","1,203,403.94","35,454.97","1,167,948.97"
Central Team A,"November, 2025","1,353,002.97","27,349.55","1,325,653.42"
Central Team A,"December, 2025","1,842,859.33","25,314.94","1,817,544.39"
Central Team A,"January, 2026","1,068,496.97","45,023.97","1,023,473"
Central Team A,"February, 2026","2,914,386.88","33,190.92","2,881,195.96"
Central Team A,"March, 2026","3,595,143.66","99,347.79","3,495,795.87"
Central Team A,"April, 2026","794,922.02","7,497.48","787,424.54"
Central Team B,"July, 2025","1,611,166.62","122,492.43","1,488,674.19"
Central Team B,"August, 2025","1,313,702.85","108,046.6","1,205,656.25"
Central Team B,"September, 2025","2,559,983.3","73,312.89","2,486,670.41"
Central Team B,"October, 2025","1,436,043.34","135,461.91","1,300,581.43"
Central Team B,"November, 2025","1,567,859.23","25,506.45","1,542,352.78"
Central Team B,"December, 2025","1,650,672.62","30,725.32","1,619,947.3"
Central Team B,"January, 2026","1,438,604.57","98,387.75","1,340,216.82"
Central Team B,"February, 2026","3,098,587.44","43,973.13","3,054,614.31"
Central Team B,"March, 2026","1,688,172.37","116,818.54","1,571,353.83"
Central Team B,"April, 2026","453,127.09","13,054.59","440,072.5"
Eastern,"July, 2025","932,215.99","44,568.7","887,647.29"
Eastern,"August, 2025","838,658.88","8,578.97","830,079.91"
Eastern,"September, 2025","874,897.78","36,960","837,937.78"
Eastern,"October, 2025","727,574.26","6,566.25","721,008.01"
Eastern,"November, 2025","764,125.92","9,076.95","755,048.97"
Eastern,"December, 2025","1,236,746.03",0,"1,236,746.03"
Eastern,"January, 2026","854,896.72","35,567.03","819,329.69"
Eastern,"February, 2026","1,075,116.18","29,591.57","1,045,524.61"
Eastern,"March, 2026","1,095,894.29","76,778.91","1,019,115.38"
Eastern,"April, 2026","312,984.31","13,549.09","299,435.22"
Northeastern,"July, 2025","1,437,419.5","4,704.83","1,432,714.67"
Northeastern,"August, 2025","1,460,291.12","90,244","1,370,047.12"
Northeastern,"September, 2025","1,079,616.48","9,514.65","1,070,101.83"
Northeastern,"October, 2025","1,287,608.99",358.75,"1,287,250.24"
Northeastern,"November, 2025","1,393,395.76","33,167","1,360,228.76"
Northeastern,"December, 2025","2,218,759.45","25,687","2,193,072.45"
Northeastern,"January, 2026","1,499,567.22","21,386.15","1,478,181.07"
Northeastern,"February, 2026","2,168,481.31","11,845.3","2,156,636.01"
Northeastern,"March, 2026","1,696,576.6","18,160.07","1,678,416.53"
Northeastern,"April, 2026","795,745.07","3,293.99","792,451.08"
Northern,"July, 2025","1,114,608.7","172,334.2","942,274.5"
Northern,"August, 2025","809,405.91","68,445.7","740,960.21"
Northern,"September, 2025","1,041,195.38","15,081.19","1,026,114.19"
Northern,"October, 2025","1,224,027.02","11,432.98","1,212,594.04"
Northern,"November, 2025","1,032,232.53","66,914.45","965,318.08"
Northern,"December, 2025","1,335,023.41","69,977.39","1,265,046.02"
Northern,"January, 2026","607,136.11","4,152.96","602,983.15"
Northern,"February, 2026","1,205,272.58","9,092.8","1,196,179.78"
Northern,"March, 2026","1,364,907.04","45,851.58","1,319,055.46"
Northern,"April, 2026","604,548.37","33,026.2","571,522.17"
Southern,"July, 2025","1,951,786.31","4,787.01","1,946,999.3"
Southern,"August, 2025","1,897,938.27","11,800","1,886,138.27"
Southern,"September, 2025","650,941.84","60,684.24","590,257.6"
Southern,"October, 2025","3,022,023.42","43,383.85","2,978,639.57"
Southern,"November, 2025","906,302.55","6,394.85","899,907.7"
Southern,"December, 2025","782,171.18",0,"782,171.18"
Southern,"January, 2026","1,497,754.63","20,683.88","1,477,070.75"
Southern,"February, 2026","784,539.59","11,630.14","772,909.45"
Southern,"March, 2026","946,061.28","3,586.7","942,474.58"
Southern,"April, 2026","879,135.18","6,692.4","872,442.78"
,"July, 2025","16,289.98",0,"16,289.98"
,"November, 2025","12,101.13",0,"12,101.13"
,"December, 2025","18,262.24","7,009.25","11,252.99"
,"February, 2026","4,468.11",0,"4,468.11"
,"March, 2026","19,920.32",0,"19,920.32"
