agent_region,metric_month: Month,Sum of monthly_premium,Sum of non_motor_gwp,Sum of motor_gwp
Central Team A,"July, 2025","1,237,383.27","89,819.73","1,147,563.54"
Central Team A,"August, 2025","1,558,106.57","133,827.18","1,424,279.39"
Central Team A,"September, 2025","1,094,450.55","10,260.95","1,084,189.6"
Central Team A,"October, 2025","1,227,452.36","45,778.97","1,181,673.39"
Central Team A,"November, 2025","1,245,332","14,779.55","1,230,552.45"
Central Team A,"December, 2025","1,861,544.83","27,338.44","1,834,206.39"
Central Team A,"January, 2026","968,063.28","45,023.97","923,039.31"
Central Team A,"February, 2026","451,603.12",590.46,"451,012.66"
Central Team B,"July, 2025","1,643,463.87","124,216.12","1,519,247.75"
Central Team B,"August, 2025","1,277,866.95","25,995.93","1,251,871.02"
Central Team B,"September, 2025","2,579,236.52","75,304.89","2,503,931.63"
Central Team B,"October, 2025","1,368,185.9","67,604.47","1,300,581.43"
Central Team B,"November, 2025","1,711,810.15","26,343.45","1,685,466.7"
Central Team B,"December, 2025","1,659,577.85","23,205.32","1,636,372.53"
Central Team B,"January, 2026","1,381,887.19","103,967.75","1,277,919.44"
Central Team B,"February, 2026","796,626.64","5,089.21","791,537.43"
Eastern,"July, 2025","992,167.99","104,520.7","887,647.29"
Eastern,"August, 2025","846,918.88","16,838.97","830,079.91"
Eastern,"September, 2025","885,602.62","36,960","848,642.62"
Eastern,"October, 2025","727,574.26","6,566.25","721,008.01"
Eastern,"November, 2025","764,125.92","9,076.95","755,048.97"
Eastern,"December, 2025","1,236,746.03",0,"1,236,746.03"
Eastern,"January, 2026","846,529.82","45,725.03","800,804.79"
Eastern,"February, 2026","198,744.27","5,149.39","193,594.88"
Northeastern,"July, 2025","1,444,162.72","4,704.83","1,439,457.89"
Northeastern,"August, 2025","1,408,998.12","38,951","1,370,047.12"
Northeastern,"September, 2025","1,076,234.26","11,675.65","1,064,558.61"
Northeastern,"October, 2025","1,290,530.99",880.75,"1,289,650.24"
Northeastern,"November, 2025","1,380,495.76","20,267","1,360,228.76"
Northeastern,"December, 2025","2,226,129.22","27,007","2,199,122.22"
Northeastern,"January, 2026","1,654,123.81","20,786.15","1,633,337.66"
Northeastern,"February, 2026","568,401.82","1,747.47","566,654.35"
Northern,"July, 2025","1,029,664.7","87,390.2","942,274.5"
Northern,"August, 2025","767,561.51","29,793.62","737,767.89"
Northern,"September, 2025","1,051,569.37","15,081.19","1,036,488.18"
Northern,"October, 2025","1,229,112.55","8,326.98","1,220,785.57"
Northern,"November, 2025","968,737.53","3,419.45","965,318.08"
Northern,"December, 2025","1,287,549.75","69,977.39","1,217,572.36"
Northern,"January, 2026","607,136.11","4,152.96","602,983.15"
Northern,"February, 2026","342,511.4",0,"342,511.4"
Southern,"July, 2025","1,951,786.31","4,787.01","1,946,999.3"
Southern,"August, 2025","1,898,488.27","12,350","1,886,138.27"
Southern,"September, 2025","650,941.84","60,684.24","590,257.6"
Southern,"October, 2025","2,979,423.42",783.85,"2,978,639.57"
Southern,"November, 2025","906,302.55","6,394.85","899,907.7"
Southern,"December, 2025","782,771.18",0,"782,771.18"
Southern,"January, 2026","1,497,934.77","21,534.09","1,476,400.68"
Southern,"February, 2026","190,892.1","3,253.14","187,638.96"
,"July, 2025","16,289.98",0,"16,289.98"
,"November, 2025","12,101.13",0,"12,101.13"
,"December, 2025","18,262.24","7,009.25","11,252.99"
,"February, 2026","36,437.65",0,"36,437.65"
